Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Philippines,Western Pacific,2832734,2585.058,4964,4.53,425,48545,44.301,1063,0.97,44
Netherlands,Europe,2643176,15184.048,155152,891.29,22199,19414,111.526,367,2.108,65
Malaysia,Western Pacific,2632782,8134.407,35702,110.307,4879,30425,94.003,315,0.973,55
Peru,Americas,2234970,6778.418,9853,29.883,895,201144,610.048,250,0.758,36
Czechia,Europe,2172084,20311.356,127825,1195.303,22042,33186,310.325,674,6.303,117
Thailand,South-East Asia,2120758,3038.336,38766,55.539,4886,20814,29.819,270,0.387,43
Iraq,Eastern Mediterranean,2081172,5174.15,5026,12.495,724,23820,59.221,108,0.269,13
Canada,Americas,1790142,4743.084,20036,53.087,2332,29670,78.612,144,0.382,27
Romania,Europe,1779667,9207.315,12680,65.601,1622,56529,292.459,1143,5.913,147
Belgium,Europe,1766035,15326.919,90038,781.414,6,27015,234.456,272,2.361,5
Chile,Americas,1762751,9221.241,15686,82.056,1386,38346,200.594,185,0.968,3
Japan,Western Pacific,1727304,1365.712,680,0.538,83,18360,14.517,9,0.007,1
Bangladesh,South-East Asia,1576284,957.125,1336,0.811,0,27981,16.99,20,0.012,0
Israel,Europe,1343752,15524.76,3595,41.534,568,8196,94.691,13,0.15,0
Pakistan,Eastern Mediterranean,1284840,581.659,2331,1.055,475,28728,13.005,61,0.028,10
Serbia,Europe,1254845,18116.045,15984,230.759,2272,11691,168.782,356,5.14,54
Viet Nam,Western Pacific,1238082,1271.934,94115,96.688,13972,25252,25.942,1134,1.165,197
Sweden,Europe,1204859,11666.411,12317,119.263,1344,15151,146.704,1,0.01,0
Austria,Europe,1158158,13011.456,79638,894.702,8219,12064,135.534,360,4.044,77
Portugal,Europe,1147249,11142.766,20931,203.294,2907,18441,179.11,88,0.855,11
Hungary,Europe,1114260,11405.466,69408,710.454,11152,34713,355.319,1194,12.222,192
Kazakhstan,Europe,1054972,5618.514,6422,34.202,881,17856,95.097,124,0.66,11
Switzerland,Europe,1009917,11669.111,38882,449.263,17,11091,128.151,68,0.786,0
Cuba,Americas,962486,8497.56,1210,10.683,136,8304,73.314,6,0.053,4
Jordan,Eastern Mediterranean,953943,9349.51,30221,296.193,4977,11608,113.769,205,2.009,24
Morocco,Eastern Mediterranean,949917,2573.564,784,2.124,132,14776,40.032,10,0.027,1
Greece,Europe,938903,8759.596,44348,413.749,7720,18157,169.398,640,5.971,90
Georgia,Europe,850102,21310.221,27719,694.855,4459,12119,303.797,440,11.03,65
Nepal,South-East Asia,821651,2819.976,1647,5.653,285,11529,39.569,16,0.055,3
United Arab Emirates,Eastern Mediterranean,742041,7502.637,471,4.762,65,2147,21.708,3,0.03,1
Tunisia,Eastern Mediterranean,717572,6071.538,963,8.148,263,25373,214.687,19,0.161,8
Bulgaria,Europe,695057,9998.688,15074,216.846,2681,28453,409.308,795,11.436,128
Slovakia,Europe,689618,12635.289,57880,1060.486,9534,14503,265.726,447,8.19,85
Lebanon,Eastern Mediterranean,670656,9825.821,9486,138.98,2051,8725,127.83,59,0.864,9
Belarus,Europe,654718,6928.731,11346,120.072,1395,5081,53.771,102,1.079,14
Guatemala,Americas,617610,3447.337,2700,15.071,0,15928,88.906,73,0.407,0
Croatia,Europe,608205,14987.192,31572,777.987,3858,10899,268.57,461,11.36,73
Azerbaijan,Europe,588318,5802.425,11615,114.556,1678,7856,77.482,170,1.677,23
Ireland,Europe,570115,11483.974,31860,641.764,5458,5652,113.85,43,0.866,0
Costa Rica,Americas,566560,11121.847,608,11.935,0,7287,143.047,23,0.452,0
Sri Lanka,South-East Asia,563989,2633.832,4384,20.473,0,14346,66.996,141,0.658,0
Saudi Arabia,Eastern Mediterranean,549752,1579.118,196,0.563,32,8836,25.381,9,0.026,2
Bolivia (Plurinational State of),Americas,537559,4605.14,7190,61.595,1087,19171,164.233,91,0.78,10
Ecuador,Americas,526870,2986.274,2438,13.818,70,33250,188.459,122,0.691,16
Myanmar,South-East Asia,522402,960.125,2671,4.909,0,19104,35.111,55,0.101,0
Denmark,Europe,487401,8370.614,29400,504.915,4148,2895,49.719,75,1.288,12
Panama,Americas,477608,11069.149,1479,34.278,94,7362,170.623,8,0.185,0
Lithuania,Europe,472239,16901.352,11772,421.318,1941,6759,241.903,156,5.583,22
Paraguay,Americas,463001,6491.392,670,9.394,45,16469,230.9,106,1.486,6
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,460799,9032.77,1843,36.127,360,4803,94.15,20,0.392,4
Republic of Korea,Western Pacific,452350,882.304,27286,53.221,5123,3658,7.135,295,0.575,34
Venezuela (Bolivarian Republic of),Americas,431296,1516.728,5282,18.575,600,5144,18.09,56,0.197,6
Slovenia,Europe,420898,20082.343,15398,734.686,2482,5551,264.855,37,1.765,1
Kuwait,Eastern Mediterranean,413362,9679.315,185,4.332,35,2465,57.721,0,0,0
Dominican Republic,Americas,407251,3754.189,2967,27.351,138,4204,38.754,10,0.092,0
Uruguay,Americas,399504,11500.721,1514,43.584,156,6130,176.467,15,0.432,1
Mongolia,Western Pacific,382277,11660.866,3249,99.107,554,1932,58.933,36,1.098,2
Honduras,Americas,377888,3815.275,361,3.645,0,10403,105.032,9,0.091,0
Libya,Eastern Mediterranean,372636,5423.085,3649,53.105,427,5456,79.403,53,0.771,8
Ethiopia,Africa,371536,323.177,1014,0.882,190,6755,5.876,51,0.044,5
Republic of Moldova,Europe,363774,9017.782,4373,108.405,664,9119,226.056,204,5.057,29
Egypt,Eastern Mediterranean,358578,350.398,6455,6.308,949,20474,20.007,422,0.412,62
Armenia,Europe,339020,11440.878,3282,110.757,502,7610,256.814,231,7.796,43
Oman,Eastern Mediterranean,304554,5963.899,45,0.881,4,4113,80.542,0,0,0
Bahrain,Eastern Mediterranean,277690,16319.586,246,14.457,62,1394,81.924,0,0,0
Bosnia and Herzegovina,Europe,275065,8384.045,4567,139.203,846,12586,383.624,248,7.559,31
Singapore,Western Pacific,264725,4524.949,9294,158.863,1239,718,12.273,46,0.786,8
Norway,Europe,263789,4914.487,15837,295.049,2869,1054,19.636,17,0.317,4
Kenya,Africa,255088,474.394,307,0.571,109,5335,9.922,5,0.009,1
Latvia,Europe,253659,13296.762,5901,309.329,931,4179,219.062,172,9.016,24
Qatar,Eastern Mediterranean,243447,8449.931,1072,37.209,157,611,21.208,0,0,0
Estonia,Europe,223171,16792.704,3912,294.362,587,1803,135.668,40,3.01,3
North Macedonia,Europe,215585,10347.848,2721,130.605,460,7581,363.88,109,5.232,12
Nigeria,Africa,214218,103.919,541,0.262,105,2977,1.444,3,0.001,1
Algeria,Africa,210531,480.105,1248,2.846,187,6071,13.845,41,0.093,7
Australia,Western Pacific,210239,824.47,9596,37.632,1106,2006,7.867,38,0.149,9
Zambia,Africa,210169,1143.22,79,0.43,19,3667,19.947,0,0,0
Albania,Europe,199945,6947.842,2778,96.532,195,3096,107.582,43,1.494,4
Botswana,Africa,195068,8295.023,416,17.69,0,2418,102.822,2,0.085,0
Uzbekistan,Europe,193424,577.916,1468,4.386,216,1406,4.201,21,0.063,4
Finland,Europe,188108,3404.49,6941,125.622,472,1348,24.397,3,0.054,0
Puerto Rico,Americas,188014,6571.956,529,18.491,15,3270,114.302,6,0.21,1
Kyrgyzstan,Europe,183404,2811.138,408,6.254,53,2749,42.135,17,0.261,3
Kosovo[1],Europe,161048,8968.706,60,3.341,8,2974,165.621,2,0.111,1
Montenegro,Europe,157315,25047.686,1992,317.166,281,2300,366.206,47,7.483,15
Afghanistan,Eastern Mediterranean,157289,404.047,274,0.704,29,7308,18.773,3,0.008,0
Mozambique,Africa,151548,484.869,53,0.17,20,1941,6.21,2,0.006,0
Zimbabwe,Africa,134652,905.959,945,6.358,426,4707,31.669,4,0.027,1
Cyprus,Europe,134473,15143.271,3445,387.948,613,597,67.229,7,0.788,3
Ghana,Africa,130920,421.331,0,0,0,1209,3.891,0,0,0
Namibia,Africa,129160,5083.228,55,2.165,0,3573,140.619,4,0.157,0
China,Western Pacific,127938,8.696,366,0.025,124,5697,0.387,0,0,0
Uganda,Africa,127589,278.938,284,0.621,39,3252,7.11,2,0.004,0
Cambodia,Western Pacific,120134,718.549,191,1.142,22,2940,17.585,31,0.185,5
El Salvador,Americas,119803,1847.043,1762,27.165,0,3776,58.216,17,0.262,2
Cameroon,Africa,107148,403.634,354,1.334,354,1804,6.796,13,0.049,13
Rwanda,Africa,100349,774.763,94,0.726,5,1342,10.361,1,0.008,0
Maldives,South-East Asia,91650,16955.141,604,111.739,0,250,46.25,2,0.37,0
Jamaica,Americas,91249,3081.522,394,13.306,27,2392,80.779,29,0.979,1
Luxembourg,Europe,89181,14243.709,2385,380.925,171,875,139.752,12,1.917,1
Senegal,Africa,73987,441.874,17,0.102,0,1885,11.258,0,0,0
Lao People's Democratic Republic,Western Pacific,73738,1013.503,9256,127.22,1291,170,2.337,33,0.454,4
Trinidad and Tobago,Americas,70598,5044.559,4305,307.612,462,2134,152.484,157,11.218,19
Angola,Africa,65168,198.282,107,0.326,13,1733,5.273,3,0.009,0
Malawi,Africa,61916,323.66,51,0.267,15,2306,12.054,2,0.01,1
Côte d’Ivoire,Africa,61724,233.996,72,0.273,12,704,2.669,1,0.004,0
Réunion,Africa,61188,6834.266,2140,239.023,0,384,42.89,3,0.335,0
Democratic Republic of the Congo,Africa,58306,65.102,246,0.275,72,1107,1.236,3,0.003,0
Guadeloupe,Americas,55080,13765.733,0,0,0,823,205.686,0,0,0
Fiji,Western Pacific,52506,5857.136,38,4.239,0,696,77.64,1,0.112,0
Suriname,Americas,50823,8663.523,292,49.776,63,1166,198.762,14,2.387,0
Syrian Arab Republic,Eastern Mediterranean,48170,275.247,722,4.126,102,2749,15.708,35,0.2,5
Eswatini,Africa,46656,4021.5,158,13.619,74,1248,107.571,0,0,0
French Polynesia,Western Pacific,46319,16489.028,696,247.768,5,636,226.409,0,0,0
French Guiana,Americas,46014,15405.682,283,94.75,30,327,109.481,4,1.339,0
Martinique,Americas,45348,12084.26,520,138.569,172,715,190.532,11,2.931,5
Madagascar,Africa,44330,160.088,258,0.932,0,967,3.492,0,0,0
Sudan,Eastern Mediterranean,43229,98.585,1270,2.896,0,3159,7.204,45,0.103,0
Mauritius,Africa,41731,3281.337,0,0,0,422,33.182,0,0,0
Malta,Europe,39343,7645.891,499,96.975,12,468,90.951,4,0.777,0
Mauritania,Africa,39266,844.492,470,10.108,53,832,17.894,10,0.215,1
Cabo Verde,Africa,38370,6901.24,34,6.115,3,350,62.951,1,0.18,1
Guyana,Americas,37825,4808.964,469,59.627,52,992,126.12,15,1.907,5
Gabon,Africa,37342,1677.739,184,8.267,0,279,12.535,5,0.225,0
Papua New Guinea,Western Pacific,35237,393.84,530,5.924,58,546,6.103,4,0.045,0
Guinea,Africa,30770,234.299,23,0.175,0,387,2.947,0,0,0
Belize,Americas,30338,7629.744,656,164.978,173,574,144.356,10,2.515,4
United Republic of Tanzania,Africa,26270,43.978,9,0.015,0,730,1.222,0,0,0
Togo,Africa,26265,317.259,46,0.556,15,243,2.935,0,0,0
Haiti,Americas,25265,221.574,238,2.087,0,738,6.472,11,0.096,0
Barbados,Americas,25152,8752.327,1208,420.357,114,229,79.687,18,6.264,4
Benin,Africa,24863,205.086,13,0.107,13,161,1.328,0,0,0
Seychelles,Africa,23482,23876.682,350,355.883,65,122,124.051,0,0,0
Somalia,Eastern Mediterranean,23016,144.816,47,0.296,0,1327,8.349,3,0.019,0
Bahamas,Americas,22791,5795.638,110,27.972,18,671,170.632,0,0,0
Lesotho,Africa,21779,1016.642,44,2.054,0,662,30.902,0,0,0
Mayotte,Africa,20973,7687.627,59,21.626,0,185,67.812,0,0,0
Burundi,Africa,20432,171.831,81,0.681,17,14,0.118,0,0,0
Timor-Leste,South-East Asia,19825,1503.665,5,0.379,2,122,9.253,0,0,0
Congo,Africa,18970,343.779,133,2.41,0,354,6.415,5,0.091,0
Iceland,Europe,18055,4958.34,905,248.535,161,35,9.612,1,0.275,0
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
Mali,Africa,17435,86.095,410,2.025,95,606,2.992,5,0.025,1
Curaçao,Americas,17401,10604.352,66,40.221,4,178,108.475,1,0.609,0
Andorra,Europe,17185,22241.636,843,1091.05,70,131,169.546,1,1.294,0
Aruba,Americas,16335,15299.815,125,117.078,11,174,162.973,1,0.937,0
Burkina Faso,Africa,16000,76.543,486,2.325,289,286,1.368,21,0.1,5
Guam,Western Pacific,15132,8965.783,42,24.885,9,263,155.829,0,0,0
Brunei Darussalam,Western Pacific,15093,3449.994,392,89.604,35,57,13.029,0,0,0
Jersey,Europe,14105,13084.901,872,808.935,153,81,75.142,1,0.928,0
Equatorial Guinea,Africa,13592,968.792,45,3.207,13,175,12.473,5,0.356,2
Djibouti,Eastern Mediterranean,13504,1366.802,1,0.101,0,186,18.826,0,0,0
Nicaragua,Americas,13397,202.232,67,1.011,67,213,3.215,1,0.015,1
Saint Lucia,Americas,12989,7073.579,80,43.567,12,280,152.483,1,0.545,0
South Sudan,Africa,12777,114.144,76,0.679,19,133,1.188,0,0,0
New Caledonia,Western Pacific,12295,4306.51,341,119.44,20,276,96.673,0,0,0
Central African Republic,Africa,11708,242.413,0,0,0,101,2.091,0,0,0
New Zealand,Western Pacific,11353,235.43,1114,23.101,149,44,0.912,4,0.083,0
Isle of Man,Europe,11340,13336.156,620,729.137,110,66,77.618,0,0,0
Yemen,Eastern Mediterranean,10004,33.541,37,0.124,9,1950,6.538,8,0.027,1
Gambia,Africa,9989,413.338,1,0.041,0,342,14.152,0,0,0
United States Virgin Islands,Americas,7511,7192.722,45,43.093,3,86,82.356,1,0.958,1
Eritrea,Africa,7341,206.997,118,3.327,0,60,1.692,5,0.141,0
Gibraltar,Europe,7248,21513.164,252,747.974,45,98,290.879,0,0,0
Cayman Islands,Americas,7074,10763.847,983,1495.74,336,5,7.608,1,1.522,1
Niger,Africa,7007,28.947,130,0.537,18,259,1.07,13,0.054,1
Guinea-Bissau,Africa,6440,327.236,3,0.152,0,148,7.52,2,0.102,0
Sierra Leone,Africa,6402,80.256,2,0.025,0,121,1.517,0,0,0
San Marino,Europe,6084,17926.808,210,618.775,45,93,274.029,0,0,0
Grenada,Americas,5894,5238.04,18,15.997,6,200,177.741,0,0,0
Liberia,Africa,5823,115.132,4,0.079,0,287,5.675,0,0,0
Dominica,Americas,5776,8023.225,134,186.134,0,37,51.395,2,2.778,0
Bermuda,Americas,5748,9230.325,24,38.54,18,106,170.218,0,0,0
Saint Vincent and the Grenadines,Americas,5525,4980.169,111,100.054,0,74,66.703,1,0.901,0
Chad,Africa,5107,31.091,0,0,0,175,1.065,0,0,0
Liechtenstein,Europe,4745,12246.109,269,694.247,0,58,149.689,0,0,0
Sint Maarten,Americas,4584,10689.8,23,53.636,9,75,174.899,0,0,0
Comoros,Africa,4508,518.399,42,4.83,7,150,17.249,0,0,0
Guernsey,Europe,4162,6455.916,756,1172.675,230,23,35.677,0,0,0
Antigua and Barbuda,Americas,4141,4228.574,5,5.106,0,117,119.474,0,0,0
Saint Martin,Americas,4031,10427.067,18,46.561,0,38,98.295,0,0,0
Monaco,Europe,3767,9598.92,155,394.965,29,36,91.734,0,0,0
Sao Tome and Principe,Africa,3731,1702.417,0,0,0,56,25.552,0,0,0
Faroe Islands,Europe,3626,7420.444,342,699.887,73,13,26.604,0,0,0
Turks and Caicos Islands,Americas,3096,7996.281,11,28.411,0,24,61.987,1,2.583,0
Bonaire,Americas,2863,13688.74,166,793.689,16,22,105.188,1,4.781,0
British Virgin Islands,Americas,2809,9289.943,44,145.517,36,38,125.674,0,0,0
Saint Kitts and Nevis,Americas,2782,5230.11,15,28.2,0,28,52.639,0,0,0
Bhutan,South-East Asia,2640,342.143,7,0.907,0,3,0.389,0,0,0
Saint Barthélemy,Americas,1672,16914.517,6,60.698,0,4,40.465,0,0,0
Greenland,Europe,1456,2564.645,164,288.875,0,0,0,0,0,0
Anguilla,Americas,1386,9238.768,52,346.62,52,3,19.997,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,855,1485.484,283,491.687,43,3,5.212,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,84,1449.525,30,517.688,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,79,2268.16,0,0,0,0,0,0,0,0
Montserrat,Americas,44,880.176,0,0,0,1,20.004,0,0,0
Sint Eustatius,Americas,31,987.576,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,12,620.797,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,10,18.117,5,9.058,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
